"Source","Target","Weight"
"DAYTRIPPER/AMANDA SE","SPIDER-MAN/PETER PAR",3
"VULTURE II/BLACKIE D","SPIDER-MAN/PETER PAR",3
"PROUST, PAUL","SPIDER-MAN/PETER PAR",3
"DOLMAN","SPIDER-MAN/PETER PAR",3
"BLADE","SPIDER-MAN/PETER PAR",3
"MISSING LINK","HULK/DR. ROBERT BRUC",3
"SPEEDBALL II/DARRION","SPEEDBALL/ROBBIE BAL",3
"BLACK CAT/FELICIA HA","FIRESTAR/ANGELICA JO",3
"SPIDER-MAN CLONE/BEN","NOVA/RICHARD RIDER",3
"RICHARDS, NATHANIEL","VASHTI",3
"SPITFIRE/LADY JACQUE","VASHTI",3
"IRON MAN/TONY STARK ","VASHTI",3
"KRIEGHUND, COL.","SUB-MARINER/NAMOR MA",3
"KILLBURN, MACK","CLARK, JOHN",3
"KILLBURN, MACK","JONES, DANIEL DANNY",3
"KILLBURN, MACK","JONES, LORRAINE LORR",3
"KILLBURN, MACK","JONES, TAMMY ANNE",3
"CLARK, JOHN","KILLBURN, MACK",3
"CLARK, SARAH","KILLBURN, MACK",3
"KILLBURN, MACK","CLARK, SARAH",3
"BLACK CAT/FELICIA HA","ROGUE /",3
"MOREAU, DAVID","ROGUE /",3
"KILLBURN, MACK","TORPEDO III/BROCK JO",3
"HYBRID/JAMES JIMMY M","TORPEDO III/BROCK JO",3
"CREED, GRAYDON","MYSTIQUE/RAVEN DARKH",3
"HYBRID/JAMES JIMMY M","JACKSON, STEVE",3
"DOCTOR DREDD","JACKSON, STEVE",3
"LOCOMOTIVE BREATH/LA","IRON MAN IV/JAMES R.",3
"IRON MAN/TONY STARK ","LITTLE, ABNER",3
"IRON MAN/TONY STARK ","PUFF ADDER",2
"IRON MAN/TONY STARK ","FER DE LANCE/TERESA",2
"HOCHBERG, ROGER","COBRA/KLAUS VORHEES",2
"JESTER/JONATHAN POWE","COBRA/KLAUS VORHEES",2
"HOCHBERG, ROGER","MISTER HYDE/CALVIN Z",2
"JESTER/JONATHAN POWE","MISTER HYDE/CALVIN Z",2
"SPIDER-MAN CLONE/BEN","DR. OCTOPUS/OTTO OCT",2
"KINGSLEY, DANIEL","BEYONDER",2
"MUGGINS, MAMIE","BEYONDER",2
"EON","HUMAN TORCH/JOHNNY S",2
"FOREIGNER/RAFAEL BAS","HUMAN TORCH/JOHNNY S",2
"FROG-MAN II/EUGENE P","HUMAN TORCH/JOHNNY S",2
"STACY, GWEN","HUMAN TORCH/JOHNNY S",2
"HAWKSHAW","HUMAN TORCH/JOHNNY S",2
"KUBIK","HUMAN TORCH/JOHNNY S",2
"NIGHTMARE/EDVARD HAB","HUMAN TORCH/JOHNNY S",2
"INTERLOPER","DRAGON OF THE MOON",2
"MANSLAUGHTER","DRAGON OF THE MOON",2
"VAUGHAN, MRS.","MOONDRAGON/HEATHER D",2
"INTERLOPER","MOONDRAGON/HEATHER D",2
"DRAGON OF THE MOON","INTERLOPER",2
"CLOUD","INTERLOPER",2
"NIGHTMARE/EDVARD HAB","INTERLOPER",2
"DAYTRIPPER/AMANDA SE","SOUTHERN, CANDY",2
"DRAGON OF THE MOON","MANSLAUGHTER",2
"NIGHTMARE/EDVARD HAB","MANSLAUGHTER",2
"INTERLOPER","CLOUD",2
"MAELSTROM/MALCOLM ST","GARGOYLE II/ISAAC CH",2
"EON","GARGOYLE II/ISAAC CH",2
"HITMAN/LT. BURT KENY","GRANT, GLORIA GLORY",2
"SLOAN, DR.","GRANT, GLORIA GLORY",2
"JACKAL/MILES WARREN","GRANT, GLORIA GLORY",2
"FORTUNATO, GIACOMO J","GRANT, GLORIA GLORY",2
"HITMAN/LT. BURT KENY","THOMPSON, EUGENE FLA",2
"MORGAN","THOMPSON, EUGENE FLA",2
"SLOAN, DR.","THOMPSON, EUGENE FLA",2
"CAPUTO, DR. JULIA","THOMPSON, EUGENE FLA",2
"JACK","THOMPSON, EUGENE FLA",2
"ELLIS, KEN","THOMPSON, EUGENE FLA",2
"WARD, SEN. STEWART","THOMPSON, EUGENE FLA",2
"RICHARDS, NATHANIEL","ICEMAN/ROBERT BOBBY ",2
"MAYHEM/DET. BRIGID O","ICEMAN/ROBERT BOBBY ",2
"EL TIGRE","ICEMAN/ROBERT BOBBY ",2
"RAMON","ICEMAN/ROBERT BOBBY ",2
"TOLOC","ICEMAN/ROBERT BOBBY ",2
"KUKULCAN/VIRAKO/QUET","ICEMAN/ROBERT BOBBY ",2
"SUPREME ONE","ICEMAN/ROBERT BOBBY ",2
"PENANCE/MONET ST. CR","ICEMAN/ROBERT BOBBY ",2
"FROG-MAN II/EUGENE P","ICEMAN/ROBERT BOBBY ",2
"SPIDER-MAN CLONE/BEN","ICEMAN/ROBERT BOBBY ",2
"GATEWAY","ICEMAN/ROBERT BOBBY ",2
"MAXWELL, MORRIS","ICEMAN/ROBERT BOBBY ",2
"OVERRIDE/DR. GREGORY","ICEMAN/ROBERT BOBBY ",2
"DOLMAN","ICEMAN/ROBERT BOBBY ",2
"COBALT MAN","ICEMAN/ROBERT BOBBY ",2
"TRAINER, DR. SEWARD","OVERRIDE/DR. GREGORY",2
"SPIDER-MAN CLONE/BEN","OVERRIDE/DR. GREGORY",2
"MAXWELL, MORRIS","KWAN, TERRY",2
"DOLMAN","KWAN, TERRY",2
"HOCHBERG, ROGER","URICH, BEN",2
"RAVEN, LT. JACOB","URICH, BEN",2
"OVERRIDE/DR. GREGORY","URICH, BEN",2
"HITMAN/LT. BURT KENY","JAMESON, J. JONAH",2
"LIGHTMASTER/EDWARD L","JAMESON, J. JONAH",2
"MANOLIS, LT. NICK","JAMESON, J. JONAH",2
"ALRAUNE, MARLENE","JAMESON, J. JONAH",2
"SHIFFMAN, MAXIE","JAMESON, J. JONAH",2
"BUCKNER, GRANT","JAMESON, J. JONAH",2
"JACK","JAMESON, J. JONAH",2
"GRIM HUNTER/KRAVINOF","JAMESON, J. JONAH",2
"BULLSEYE II/BENJAMIN","JAMESON, J. JONAH",2
"FORTUNATO, GIACOMO J","JAMESON, J. JONAH",2
"MAXWELL, MORRIS","CALDRONE, JAVIER",2
"DOLMAN","CALDRONE, JAVIER",2
"BRICKMAN, SEN. MILES","GARVIN, GEARS",2
"IRON MAN/TONY STARK ","GARVIN, GEARS",2
"MIMIC/CALVIN RANKIN","MACHINE MAN/X-51",2
"KUBIK","MACHINE MAN/X-51",2
"BRICKMAN, SEN. MILES","SPAULDING, PETER",2
"SHA SHAN","WATSON, ANNA",2
"FOREIGNER/RAFAEL BAS","WATSON, ANNA",2
"VULTURE II/BLACKIE D","WATSON, ANNA",2
"LOCKER, MR.","WATSON, ANNA",2
"TRAINER, DR. SEWARD","WATSON, ANNA",2
"CAPUTO, DR. JULIA","WATSON, ANNA",2
"ELLIS, KEN","WATSON, ANNA",2
"IRON MAN/TONY STARK ","WATSON, ANNA",2
"MORGAN","WATSON-PARKER, MARY ",2
"HOCHBERG, ROGER","WATSON-PARKER, MARY ",2
"HOBGOBLIN III/LEFTY ","WATSON-PARKER, MARY ",2
"ALRAUNE, MARLENE","WATSON-PARKER, MARY ",2
"VULTURE II/BLACKIE D","WATSON-PARKER, MARY ",2
"PROUST, PAUL","WATSON-PARKER, MARY ",2
"D'SPAYRE","WATSON-PARKER, MARY ",2
"HINDSIGHT LAD/CARLTO","WATSON-PARKER, MARY ",2
"BUCKNER, GRANT","WATSON-PARKER, MARY ",2
"GREGOR","WATSON-PARKER, MARY ",2
"BULLSEYE II/BENJAMIN","WATSON-PARKER, MARY ",2
"KINGSLEY, DANIEL","KINGPIN/WILSON FISK",2
"FOREIGNER/RAFAEL BAS","KINGPIN/WILSON FISK",2
"ALRAUNE, MARLENE","KINGPIN/WILSON FISK",2
"FORTUNATO, GIACOMO J","KINGPIN/WILSON FISK",2
"BLADE","KINGPIN/WILSON FISK",2
"HOCHBERG, ROGER","LEEDS, BETTY BRANT",2
"VULTURE II/BLACKIE D","LEEDS, BETTY BRANT",2
"BYRNES, GAYLE WATSON","LEEDS, BETTY BRANT",2
"GRIM HUNTER/KRAVINOF","LEEDS, BETTY BRANT",2
"FORTUNATO, GIACOMO J","LEEDS, BETTY BRANT",2
"STACY, PAUL","LEEDS, BETTY BRANT",2
"SHA SHAN","MORBIUS/DR. MICHAEL ",2
"STACY, GWEN","MORBIUS/DR. MICHAEL ",2
"TOMBSTONE/LONNIE THO","FORTUNATO, GIACOMO J",2
"BLADE","FORTUNATO, GIACOMO J",2
"HITMAN/LT. BURT KENY","ROBERTSON, JOE",2
"CREED, GRAYDON","ROBERTSON, JOE",2
"HOCHBERG, ROGER","ROBERTSON, JOE",2
"SPEEDBALL II/DARRION","ROBERTSON, JOE",2
"BUCKNER, GRANT","ROBERTSON, JOE",2
"JACK","ROBERTSON, JOE",2
"MAXWELL, MORRIS","ROBERTSON, JOE",2
"FORTUNATO, GIACOMO J","ROBERTSON, JOE",2
"WOLFE, SARA","BLADE",2
"FORTUNATO, GIACOMO J","BLADE",2
"OVERRIDE/DR. GREGORY","STACY, JILL",2
"BLADE","STACY, JILL",2
"STACY, GWEN","STACY, ARTHUR",2
"LIGHTMASTER/EDWARD L","PARKER, MAY",2
"VULTURE II/BLACKIE D","PARKER, MAY",2
"TREVANE, DET. CONNOR","PARKER, MAY",2
"TOKKOTS","PARKER, MAY",2
"SHA SHAN","VENOM/EDDIE BROCK",2
"TOMBSTONE/LONNIE THO","VENOM/EDDIE BROCK",2
"KAINE","VENOM/EDDIE BROCK",2
"STACY, PAUL","VENOM/EDDIE BROCK",2
"GREEN GOBLIN IV/PHIL","STACY, PAUL",2
"VENOM/EDDIE BROCK","STACY, PAUL",2
"BRICKFORD, CLAY","MISSING LINK",2
"MISSING LINK","BRICKFORD, CLAY",2
"ARIZE","PROFESSOR X/CHARLES ",2
"MAGOG II","PROFESSOR X/CHARLES ",2
"GOG III","PROFESSOR X/CHARLES ",2
"EL TIGRE","PROFESSOR X/CHARLES ",2
"RAMON","PROFESSOR X/CHARLES ",2
"TOLOC","PROFESSOR X/CHARLES ",2
"KUKULCAN/VIRAKO/QUET","PROFESSOR X/CHARLES ",2
"SUPREME ONE","PROFESSOR X/CHARLES ",2
"BLACK CAT/FELICIA HA","PROFESSOR X/CHARLES ",2
"GATEWAY","PROFESSOR X/CHARLES ",2
"VENOM/EDDIE BROCK","PROFESSOR X/CHARLES ",2
"HYBRID/JAMES JIMMY M","PROFESSOR X/CHARLES ",2
"PENANCE/MONET ST. CR","JUGGERNAUT/CAIN MARK",2
"KAINE","RHINO",2
"SPIDER-MAN CLONE/BEN","RHINO",2
"COBALT MAN","RHINO",2
"IRON MAN/TONY STARK ","ABOMINATION/EMIL BLO",2
"IRON MAN/TONY STARK ","MAN-BEAST",2
"BLESSING, MORGANA","WARLOCK II/ADAM WARL",2
"BARON BLOOD II/VICTO","WARLOCK II/ADAM WARL",2
"MAELSTROM/MALCOLM ST","KARNAK [INHUMAN]",2
"PSI-LORD/FRANKLIN BE","TRITON",2
"VIBRAXAS/N'KANO","TRITON",2
"DEVLOR","TRITON",2
"SPIDER-MAN CLONE/BEN","BLACK BOLT/BLACKANTO",2
"RICHARDS, NATHANIEL","CRYSTAL [INHUMAN]",2
"DEVLOR","CRYSTAL [INHUMAN]",2
"MAELSTROM/MALCOLM ST","GORGON [INHUMAN]",2
"ROBERTS, TED","ARMBRUSTER, COLONEL ",2
"COBALT MAN","ARMBRUSTER, COLONEL ",2
"ZELDA","ROBERTS, TED",2
"ARMBRUSTER, COLONEL ","ROBERTS, TED",2
"WORTHINGTON, KATHRYN","MASTERMIND/JASON WYN",2
"IRON MAN/TONY STARK ","MASTERMIND/JASON WYN",2
"ARMBRUSTER, COLONEL ","COBALT MAN",2
"ROBERTS, TED","ROSS, GEN. THADDEUS ",2
"COBALT MAN","ROSS, GEN. THADDEUS ",2
"ROBERTS, TED","BANNER, BETTY ROSS T",2
"COBALT MAN","BANNER, BETTY ROSS T",2
"WOLFE, SARA","NORRISS, SISTER BARB",2
"DRAGON OF THE MOON","NORRISS, SISTER BARB",2
"COBALT MAN","NORRISS, SISTER BARB",2
"NIGHTMARE/EDVARD HAB","NORRISS, SISTER BARB",2
"COBALT MAN","NIGHTHAWK II/KYLE RI",2
"EON","DR. STRANGE/STEPHEN ",2
"MOJO","DR. STRANGE/STEPHEN ",2
"SPITFIRE/LADY JACQUE","DR. STRANGE/STEPHEN ",2
"BANSHEE/SEAN CASSIDY","DR. STRANGE/STEPHEN ",2
"FOREIGNER/RAFAEL BAS","DR. STRANGE/STEPHEN ",2
"CLEOPATRA","DR. STRANGE/STEPHEN ",2
"ZOTA","DR. STRANGE/STEPHEN ",2
"NOX","DR. STRANGE/STEPHEN ",2
"SCARECROW II","DR. STRANGE/STEPHEN ",2
"FEAR EATER/KKALLAKKU","DR. STRANGE/STEPHEN ",2
"CLOUD","DR. STRANGE/STEPHEN ",2
"COBALT MAN","DR. STRANGE/STEPHEN ",2
"COBALT MAN","RED GUARDIAN III/DR.",2
"CREED, GRAYDON","COOPER, DR. VALERIE",2
"HAWKSHAW","COOPER, DR. VALERIE",2
"BLACK CAT/FELICIA HA","SPIDER-WOMAN II/JULI",2
"DOLMAN","SPIDER-WOMAN II/JULI",2
"PROTOCIDE/PRIVATE CL","THOR/DR. DONALD BLAK",2
"PSI-LORD/FRANKLIN BE","THOR/DR. DONALD BLAK",2
"UNION JACK II/BRIAN ","THOR/DR. DONALD BLAK",2
"DOMINO III/BEATRICE/","THOR/DR. DONALD BLAK",2
"ZANIAC/BRAD WOLFE","THOR/DR. DONALD BLAK",2
"BLESSING, MORGANA","NIGHTMARE/EDVARD HAB",2
"CHANG, IMEI","NIGHTMARE/EDVARD HAB",2
"SCARECROW II","NIGHTMARE/EDVARD HAB",2
"INTERLOPER","NIGHTMARE/EDVARD HAB",2
"MANSLAUGHTER","NIGHTMARE/EDVARD HAB",2
"BLESSING, MORGANA","ENCHANTRESS/AMORA/HE",2
"CHANG, IMEI","ENCHANTRESS/AMORA/HE",2
"WOLFE, SARA","ENCHANTRESS/AMORA/HE",2
"NIGHTMARE/EDVARD HAB","ENCHANTRESS/AMORA/HE",2
"NIGHTMARE/EDVARD HAB","HEIMDALL [ASGARDIAN]",2
"MANNING, DR.","CARTER, SHARON",2
"PLUNDER, ADAM KYLE M","CARTER, SHARON",2
"BRICKMAN, SEN. MILES","CYCLOPS/SCOTT SUMMER",2
"EL TIGRE","CYCLOPS/SCOTT SUMMER",2
"RAMON","CYCLOPS/SCOTT SUMMER",2
"TOLOC","CYCLOPS/SCOTT SUMMER",2
"KUKULCAN/VIRAKO/QUET","CYCLOPS/SCOTT SUMMER",2
"SUPREME ONE","CYCLOPS/SCOTT SUMMER",2
"HENDERSHOOT, COLONEL","CYCLOPS/SCOTT SUMMER",2
"SPIDER-MAN CLONE/BEN","CYCLOPS/SCOTT SUMMER",2
"GATEWAY","CYCLOPS/SCOTT SUMMER",2
"COBALT MAN","CYCLOPS/SCOTT SUMMER",2
"EON","GHOST RIDER III/DAN ",2
"MAYHEM/DET. BRIGID O","GHOST RIDER III/DAN ",2
"D'SPAYRE","GHOST RIDER III/DAN ",2
"BLADE","GHOST RIDER III/DAN ",2
"KINE, BENEDICT","BEAST/HENRY &HANK& P",2
"MAYHEM/DET. BRIGID O","BEAST/HENRY &HANK& P",2
"EL TIGRE","BEAST/HENRY &HANK& P",2
"RAMON","BEAST/HENRY &HANK& P",2
"TOLOC","BEAST/HENRY &HANK& P",2
"KUKULCAN/VIRAKO/QUET","BEAST/HENRY &HANK& P",2
"SUPREME ONE","BEAST/HENRY &HANK& P",2
"PENANCE/MONET ST. CR","BEAST/HENRY &HANK& P",2
"BANNON, LANCE","BEAST/HENRY &HANK& P",2
"FROG-MAN II/EUGENE P","BEAST/HENRY &HANK& P",2
"SPIDER-MAN CLONE/BEN","BEAST/HENRY &HANK& P",2
"HAWKSHAW","BEAST/HENRY &HANK& P",2
"COBALT MAN","BEAST/HENRY &HANK& P",2
"WOLFE, SARA","ANDROMEDA/ANDROMEDA ",2
"DRAGON OF THE MOON","ANDROMEDA/ANDROMEDA ",2
"NIGHTMARE/EDVARD HAB","ANDROMEDA/ANDROMEDA ",2
"PLUNDER, ADAM KYLE M","PUNISHER II/FRANK CA",2
"HITMAN/LT. BURT KENY","PUNISHER II/FRANK CA",2
"MAYHEM/DET. BRIGID O","PUNISHER II/FRANK CA",2
"MUGGINS, MAMIE","PUNISHER II/FRANK CA",2
"BANNON, LANCE","PUNISHER II/FRANK CA",2
"GREEN GOBLIN III/BAR","PUNISHER II/FRANK CA",2
"KAINE","PUNISHER II/FRANK CA",2
"BULLSEYE II/BENJAMIN","PUNISHER II/FRANK CA",2
"FORTUNATO, GIACOMO J","PUNISHER II/FRANK CA",2
"STACY, ARTHUR","PUNISHER II/FRANK CA",2
"VENOM/EDDIE BROCK","PUNISHER II/FRANK CA",2
"STACY, PAUL","PUNISHER II/FRANK CA",2
"NIGHTMARE/EDVARD HAB","PUNISHER II/FRANK CA",2
"IRON MAN/TONY STARK ","PUNISHER II/FRANK CA",2
"MAELSTROM/MALCOLM ST","INFINITY II",2
"MAELSTROM/MALCOLM ST","INVISIBLE WOMAN/SUE ",2
"EON","INVISIBLE WOMAN/SUE ",2
"SPITFIRE/LADY JACQUE","INVISIBLE WOMAN/SUE ",2
"FOREIGNER/RAFAEL BAS","INVISIBLE WOMAN/SUE ",2
"SPIDER-MAN CLONE/BEN","INVISIBLE WOMAN/SUE ",2
"HAWKSHAW","INVISIBLE WOMAN/SUE ",2
"KUBIK","INVISIBLE WOMAN/SUE ",2
"VENOM/EDDIE BROCK","INVISIBLE WOMAN/SUE ",2
"NIGHTMARE/EDVARD HAB","INVISIBLE WOMAN/SUE ",2
"BLUE DIAMOND/PROFESS","THING/BENJAMIN J. GR",2
"PRENTISS, BETTY DEAN","THING/BENJAMIN J. GR",2
"ALRAUNE, MARLENE","THING/BENJAMIN J. GR",2
"SPIDER-MAN CLONE/BEN","THING/BENJAMIN J. GR",2
"HAWKSHAW","THING/BENJAMIN J. GR",2
"GATEWAY","THING/BENJAMIN J. GR",2
"KUBIK","THING/BENJAMIN J. GR",2
"NIGHTMARE/EDVARD HAB","THING/BENJAMIN J. GR",2
"DOMINO III/BEATRICE/","JUBILEE/JUBILATION L",2
"OGRE","ANGEL/WARREN KENNETH",2
"EL TIGRE","ANGEL/WARREN KENNETH",2
"RAMON","ANGEL/WARREN KENNETH",2
"TOLOC","ANGEL/WARREN KENNETH",2
"KUKULCAN/VIRAKO/QUET","ANGEL/WARREN KENNETH",2
"SUPREME ONE","ANGEL/WARREN KENNETH",2
"HENDERSHOOT, COLONEL","ANGEL/WARREN KENNETH",2
"FROG-MAN II/EUGENE P","ANGEL/WARREN KENNETH",2
"GATEWAY","ANGEL/WARREN KENNETH",2
"COBALT MAN","ANGEL/WARREN KENNETH",2
"VIBRAXAS/N'KANO","MR. FANTASTIC/REED R",2
"SPITFIRE/LADY JACQUE","MR. FANTASTIC/REED R",2
"FOREIGNER/RAFAEL BAS","MR. FANTASTIC/REED R",2
"WOLFE, SARA","MR. FANTASTIC/REED R",2
"SPIDER-MAN CLONE/BEN","MR. FANTASTIC/REED R",2
"HAWKSHAW","MR. FANTASTIC/REED R",2
"KUBIK","MR. FANTASTIC/REED R",2
"NIGHTMARE/EDVARD HAB","MR. FANTASTIC/REED R",2
"IRON MAN/TONY STARK ","KISMET/J'RIDIA STARD",2
"BLESSING, MORGANA","ETERNITY/ADAM QADMON",2
"WOLFE, SARA","ETERNITY/ADAM QADMON",2
"MAJOR DOMO","STORM/ORORO MUNROE S",2
"MOJO","STORM/ORORO MUNROE S",2
"MIMIC/CALVIN RANKIN","STORM/ORORO MUNROE S",2
"FREDERICKS, GENERAL","STORM/ORORO MUNROE S",2
"PUNCHOUT","STORM/ORORO MUNROE S",2
"CONOVER, HANNAH","STORM/ORORO MUNROE S",2
"CONOVER, REV. WILLIA","STORM/ORORO MUNROE S",2
"HYBRID/JAMES JIMMY M","STORM/ORORO MUNROE S",2
"MAGOG II","MARVEL GIRL/JEAN GRE",2
"GOG III","MARVEL GIRL/JEAN GRE",2
"DAYTRIPPER/AMANDA SE","MARVEL GIRL/JEAN GRE",2
"BRICKMAN, SEN. MILES","MARVEL GIRL/JEAN GRE",2
"MAYHEM/DET. BRIGID O","MARVEL GIRL/JEAN GRE",2
"EL TIGRE","MARVEL GIRL/JEAN GRE",2
"RAMON","MARVEL GIRL/JEAN GRE",2
"TOLOC","MARVEL GIRL/JEAN GRE",2
"KUKULCAN/VIRAKO/QUET","MARVEL GIRL/JEAN GRE",2
"SUPREME ONE","MARVEL GIRL/JEAN GRE",2
"PENANCE/MONET ST. CR","MARVEL GIRL/JEAN GRE",2
"SPIDER-MAN CLONE/BEN","MARVEL GIRL/JEAN GRE",2
"HAWKSHAW","MARVEL GIRL/JEAN GRE",2
"COBALT MAN","MARVEL GIRL/JEAN GRE",2
"PLUNDER, ADAM KYLE M","PSYLOCKE/ELISABETH B",2
"MIMIC/CALVIN RANKIN","PSYLOCKE/ELISABETH B",2
"HAWKSHAW","PSYLOCKE/ELISABETH B",2
"PUNCHOUT","PSYLOCKE/ELISABETH B",2
"CONOVER, HANNAH","PSYLOCKE/ELISABETH B",2
"CONOVER, REV. WILLIA","PSYLOCKE/ELISABETH B",2
"DEVLOR","VISION ",2
"CLOUD","VISION ",2
"MAELSTROM/MALCOLM ST","SHE-HULK/JENNIFER WA",2
"BANSHEE/SEAN CASSIDY","SHE-HULK/JENNIFER WA",2
"BANNON, LANCE","SHE-HULK/JENNIFER WA",2
"SPIDER-MAN CLONE/BEN","SHE-HULK/JENNIFER WA",2
"KUBIK","SHE-HULK/JENNIFER WA",2
"SPITFIRE/LADY JACQUE","WOLVERINE/LOGAN ",2
"PENANCE/MONET ST. CR","WOLVERINE/LOGAN ",2
"FREDERICKS, GENERAL","WOLVERINE/LOGAN ",2
"HAWKSHAW","WOLVERINE/LOGAN ",2
"PUNCHOUT","WOLVERINE/LOGAN ",2
"CONOVER, HANNAH","WOLVERINE/LOGAN ",2
"CONOVER, REV. WILLIA","WOLVERINE/LOGAN ",2
"ARMBRUSTER, COLONEL ","WOLVERINE/LOGAN ",2
"HYBRID/JAMES JIMMY M","WOLVERINE/LOGAN ",2
"MAELSTROM/MALCOLM ST","OBLIVION",2
"NIGHTMARE/EDVARD HAB","DEATHLOK III/MICHAEL",2
"EON","WONDER MAN/SIMON WIL",2
"EON","CAPTAIN AMERICA",2
"MANNING, DR.","CAPTAIN AMERICA",2
"PLUNDER, ADAM KYLE M","CAPTAIN AMERICA",2
"VIBRAXAS/N'KANO","CAPTAIN AMERICA",2
"DEAN, BETTY","CAPTAIN AMERICA",2
"OGRE","CAPTAIN AMERICA",2
"FROG-MAN II/EUGENE P","CAPTAIN AMERICA",2
"RED SKULL II/ALBERT ","CAPTAIN AMERICA",2
"EON","UATU",2
"PSI-LORD/FRANKLIN BE","UATU",2
"VIBRAXAS/N'KANO","UATU",2
"DEVLOR","UATU",2
"DOMINO III/BEATRICE/","UATU",2
"MAELSTROM/MALCOLM ST","QUICKSILVER/PIETRO M",2
"BANSHEE/SEAN CASSIDY","QUICKSILVER/PIETRO M",2
"ZELDA","QUICKSILVER/PIETRO M",2
"BLACK CAT/FELICIA HA","QUICKSILVER/PIETRO M",2
"SPIDER-MAN CLONE/BEN","QUICKSILVER/PIETRO M",2
"BANSHEE/SEAN CASSIDY","SCARLET WITCH/WANDA ",2
"ZELDA","SCARLET WITCH/WANDA ",2
"CHANG, IMEI","SCARLET WITCH/WANDA ",2
"WOLFE, SARA","SCARLET WITCH/WANDA ",2
"DOMINO III/BEATRICE/","SCARLET WITCH/WANDA ",2
"SPIDER-MAN CLONE/BEN","SCARLET WITCH/WANDA ",2
"CLOUD","SCARLET WITCH/WANDA ",2
"EON","LORD CHAOS",2
"MAELSTROM/MALCOLM ST","HAWK",2
"RICHARDS, NATHANIEL","HAWK",2
"MACHETE/FERDINAND LO","HAWK",2
"BARON BLOOD II/VICTO","SILVER SURFER/NORRIN",2
"CLOUD","SILVER SURFER/NORRIN",2
"MAELSTROM/MALCOLM ST","GALACTUS/GALAN",2
"CLARK, JOHN","GALACTUS/GALAN",2
"CLARK, SARAH","GALACTUS/GALAN",2
"BANSHEE/SEAN CASSIDY","WASP/JANET VAN DYNE ",2
"BANNON, LANCE","WASP/JANET VAN DYNE ",2
"FOREIGNER/RAFAEL BAS","WASP/JANET VAN DYNE ",2
"JACKAL/MILES WARREN","JUSTICE II/VANCE AST",2
"KAINE","JUSTICE II/VANCE AST",2
"EON","SPIDER-MAN/PETER PAR",2
"CREED, GRAYDON","SPIDER-MAN/PETER PAR",2
"MIMIC/CALVIN RANKIN","SPIDER-MAN/PETER PAR",2
"HOBGOBLIN III/LEFTY ","SPIDER-MAN/PETER PAR",2
"SILVER DAGGER/ISAIAH","SPIDER-MAN/PETER PAR",2
"HINDSIGHT LAD/CARLTO","SPIDER-MAN/PETER PAR",2
"BUCKNER, GRANT","SPIDER-MAN/PETER PAR",2
"GUARDIAN IV","SPIDER-MAN/PETER PAR",2
"GREGOR","SPIDER-MAN/PETER PAR",2
"BULLSEYE II/BENJAMIN","SPIDER-MAN/PETER PAR",2
"TOKKOTS","SPIDER-MAN/PETER PAR",2
"NIGHTMARE/EDVARD HAB","SPIDER-MAN/PETER PAR",2
"SPIDER-MAN CLONE/BEN","NIGHT THRASHER/DUANE",2
"BANSHEE/SEAN CASSIDY","HULK/DR. ROBERT BRUC",2
"CHANG, IMEI","HULK/DR. ROBERT BRUC",2
"CLOUD","HULK/DR. ROBERT BRUC",2
"BRICKFORD, CLAY","HULK/DR. ROBERT BRUC",2
"ROBERTS, TED","HULK/DR. ROBERT BRUC",2
"BANSHEE/SEAN CASSIDY","SPEEDBALL/ROBBIE BAL",2
"SPIDER-MAN CLONE/BEN","SPEEDBALL/ROBBIE BAL",2
"BANSHEE/SEAN CASSIDY","NAMORITA/NITA PRENTI",2
"BLACK CAT/FELICIA HA","NAMORITA/NITA PRENTI",2
"SPIDER-MAN CLONE/BEN","NAMORITA/NITA PRENTI",2
"JACKAL/MILES WARREN","FIRESTAR/ANGELICA JO",2
"KAINE","FIRESTAR/ANGELICA JO",2
"BANSHEE/SEAN CASSIDY","NOVA/RICHARD RIDER",2
"DEAN, BETTY","SUB-MARINER/NAMOR MA",2
"CHANG, IMEI","SUB-MARINER/NAMOR MA",2
"SPIDER-MAN CLONE/BEN","SUB-MARINER/NAMOR MA",2
"CLOUD","SUB-MARINER/NAMOR MA",2
"KUBIK","SUB-MARINER/NAMOR MA",2
"SEAWEED MAN","SUB-MARINER/NAMOR MA",2
"HYBRID/JAMES JIMMY M","CLARK, JOHN",2
"HYBRID/JAMES JIMMY M","JONES, DANIEL DANNY",2
"KILLBURN, MACK","JONES, NELL",2
"HYBRID/JAMES JIMMY M","JONES, LORRAINE LORR",2
"HYBRID/JAMES JIMMY M","JONES, TAMMY ANNE",2
"HYBRID/JAMES JIMMY M","KILLBURN, MACK",2
"HYBRID/JAMES JIMMY M","CLARK, SARAH",2
"CLARK, JOHN","HYBRID/JAMES JIMMY M",2
"KILLBURN, MACK","HYBRID/JAMES JIMMY M",2
"CLARK, SARAH","HYBRID/JAMES JIMMY M",2
"BANSHEE/SEAN CASSIDY","DESTINY II/IRENE ADL",2
"HYBRID/JAMES JIMMY M","DESTINY II/IRENE ADL",2
"MIMIC/CALVIN RANKIN","ROGUE /",2
"HAWKSHAW","ROGUE /",2
"PUNCHOUT","ROGUE /",2
"CONOVER, HANNAH","ROGUE /",2
"CONOVER, REV. WILLIA","ROGUE /",2
"WIPEOUT","ROGUE /",2
